Treatment	Temperature	Strain	C12:0	C13:0	C14:0	C14:1	C15:0	C16:0	C16:1(9)	C17:0	C18:0	C18:1n9c（9）	C18:1n11c（11）	C18:2n6c（9，12）	C20:0	C18:3n6（6，9，12）	C18:3n3（9，12，15）	C22:1T	C20:3n6（8，11，14）	C20:3n3（11，14，17）
D15_1	15	Dolichospermum	0.024546075	0.043626862	0.113632165	0.05488828	0.045255632	1.278037375	0.144935091	0.079300745	0.169729298	0.107384305	0.207649102	0.175627227	0.062084136	0	1.077272371	0	0	0.14063412
D15_2	15	Dolichospermum	0.024094345	0.043709573	0.154599551	0.05638344	0.046642632	2.093014133	0.197838307	0.084454275	0.249100029	0.112480574	0.244951755	0.214800421	0.062745824	0	1.485870986	0	0	0.143948921
D15_3	15	Dolichospermum	0.024215231	0.043633224	0.149140626	0.057146926	0.046426311	1.967516123	0.210194056	0.082227441	0.232583282	0.121623318	0.264796029	0.226469032	0.062688562	0	1.607182548	0	0	0.144737857
D25_1	25	Dolichospermum	0.017698789	0.033351868	0.052388611	0.039983461	0.033104638	0.337813706	0.061172562	0.05633945	0.055176012	0.058603305	0.062442648	0.093787587	0.046493862	0	0.160593124	0	0	0
D25_2	25	Dolichospermum	0.020238961	0.033288849	0.17552875	0.046246631	0.035993841	2.330582994	0.238955472	0.062137245	0.145948358	0.143965667	0.200217859	0.49332164	0.047414916	0	0.179399603	0	0	0.107894264
D25_3	25	Dolichospermum	0.018246575	0.03316281	0.074586024	0.040245234	0.033696052	0.796135276	0.09584784	0.058162168	0.092595064	0.074770235	0.113391505	0.182674194	0.046939846	0	0.502624291	0	0	0.104224589
D29_1	29	Dolichospermum	0.021127025	0.034927255	0.216143002	0.049328373	0.043571965	3.331116871	0.270889467	0.077504472	0.213214303	0.208927295	0.201797429	0.926170617	0.049994904	0	2.115807966	0	0	0.112992219
D29_2	29	Dolichospermum	0.021854151	0.034987849	0.206281367	0.047232838	0.042779197	2.963186493	0.240390606	0.075232206	0.189845309	0.185926912	0.179867536	0.799625593	0.049732331	0	1.848296601	0	0	0.11279024
A29_3	29	Dolichospermum	0.022965036	0.035043393	0.231498471	0.050479654	0.044188002	3.497108435	0.271020753	0.078458824	0.193193114	0.219430214	0.209351451	0.910385942	0.050111042	0	1.988384332	0	0	0.113966769
M15_1	15	Microcystis	0.001694386	0.003189624	0.004268379	0	0.003251654	0.207209923	0.012643766	0.00645014	0.032349573	0.016022278	0.034300472	0.0828211	0.005106477	0.092003338	0.058269527	0.010679808	0.027551378	0.020843326
M15_2	15	Microcystis	0.001716773	0.003188692	0.004627497	0	0.003242793	0.221295294	0.014835321	0.006913263	0.061572017	0.022464955	0.038178951	0.127594771	0.005355995	0.174010126	0.077099458	0.015344617	0.045792261	0.028902036
M15_3	15	Microcystis	0.001773205	0.003187292	0.004986149	0	0.003316948	0.345442994	0.018439098	0.007562008	0.072122636	0.029877253	0.052862696	0.172073218	0.006073299	0.189835122	0.108125889	0.018299182	0.054835516	0.036244842
M25_1	25	Microcystis	0.008857783	0.016547587	0.021427468	0	0.01659595	0.459352104	0.033951208	0.039928942	0.144104015	0.084781292	0.106298233	0.411624541	0.025586733	0.602665375	0.078346523	0.035114351	0.070724428	0.05492164
M25_2	25	Microcystis	0.008985946	0.016547587	0.023686046	0	0.01692724	0.753163051	0.048793979	0.043580389	0.170754746	0.106798796	0.158141534	0.559254258	0.025591569	0.964487557	0.096528797	0.036635385	0.083835785	0.055211822
M25_3	25	Microcystis	0.008819092	0.016547587	0.022360885	0	0.017111022	1.11945886	0.04806369	0.039174471	0.113876801	0.074346858	0.131643148	0.360547802	0.024779062	0.502555258	0.080938809	0.03252932	0.06207219	0.053311134
M29_1	29	Microcystis	0.003727634	0.007023615	0.008440876	0	0.007159277	0.119873183	0.012453195	0.015364799	0.027041019	0.017181854	0.050850805	0.059292709	0.010079103	0.059253655	0.017340127	0.01192699	0.020067764	0
M29_2	29	Microcystis	0.003959904	0.007059586	0.011388451	0	0.007702955	0.448162932	0.024663843	0.033325684	0.078333755	0.048884728	0.076523895	0.427448716	0.010969131	0.42355767	0.026932078	0.016551846	0.036706968	0.022334971
M29_3	29	Microcystis	0.003973265	0.007063697	0.012616607	0	0.007877671	0.535485351	0.028593943	0.035878605	0.103371697	0.057892919	0.098904086	0.516871847	0.01116543	0.577646566	0.030638129	0.018607337	0.043369844	0.022542576
M33_1	33	Microcystis	0.000655696	0	0.008319717	0	0.001632891	9.5853225	0.036312631	0.002822007	0.033290839	0.335914399	0	2.036843253	0	0.862324782	0	0	0.087343049	0
M33_2	33	Microcystis	0.000923144	0	0.009480434	0	0.001761848	11.03082493	0.043001392	0.003253937	0.036089628	0.387877925	0	2.264516412	0	0.920202286	0	0	0.093730031	0
M33_3	33	Microcystis	0.001039942	0	0.009253899	0	0.001761778	11.06765466	0.038239438	0.003448823	0.034388534	0.366944464	0	2.218161008	0	0.908060879	0	0	0.101811811	0
fg/μm3